====== SECTION 1 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c      , mf , 4      , nat.  , F     , 7       , 2
c      , mp , 4      , circ. , F     , 6       , 2
c      , mf , 4      , circ. , pizz  , 7       , 2
g      , mp , 3      , nat.  , F:M   , 7       , 2
====== SECTION 45 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c      , mf , 0      , nat.  , F     , 7       , 2
c      , mp , 4      , circ. , F     , 6       , 2
g      , f  , 0      , circ. , pizz  , 7       , 2
====== SECTION 46 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c      , mf , 0      , nat.  , F     , 7       , 2
c      , mp , 0      , nat.  , F:M   , 6       , 2
c      , f  , 4      , circ. , pizz  , 7       , 2
g      , mp , 2      , nat.  , F:M   , 6       , 2
====== SECTION 47 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c      , mf , 0      , nat.  , F     , 7       , 2
c      , mp , 1      , nat.  , F:M   , 6       , 2
====== SECTION 48 ======
partial, dyn, f pres., motion, attack, bow pos., bow pres.
c      , mf , 0      , nat.  , F     , 7       , 2
